2015-04-30 17:53:29,767'INFO:Set logger---
2015-04-30 17:53:29,771'INFO:binding_blocks:clean: Complete
2015-04-30 17:53:29,771'INFO:binding_blocks:consolidate:Entered
2015-04-30 17:53:30,536'INFO:building_blocks : consolidated
2015-04-30 17:53:30,552'CRITICAL:binding_blocks:writetofile:WROTE FILE to hererhere.asm
2015-04-30 17:53:30,552'INFO:build_dep:alp=0
2015-04-30 17:53:30,552'INFO:building_blocks:getblock:got  0 as block_num
2015-04-30 17:53:30,552'INFO:binding_blocks:getblock: Returned data request for 0
2015-04-30 17:53:30,553'INFO:build_dep:Returned:    LEA R0, DataSegment

2015-04-30 17:53:30,553'INFO:build_dep:Returned:    ADD R1, R1, 12

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    ADD R1, R1, -5

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    ADD R1, R1, 0

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    STR R1, R0, aacus

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    AND R2, R0, 4x0F

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    STR R2, R0, joiner

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,554'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    LDR R3, R0, DEEB

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    LDR R4, R0, LEAF

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    LDR R5, R0, D22D

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    LDR R6, R0, LIFE

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    ADD R3, R3, R4

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,555'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    ADD R3, R3, R3

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    STR R3, R0, calcx

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    AND R4, R5, R3

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    STR R4, R0, joiner

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOT R5, R5

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    STR R5, R0, duh

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    LDR R6, R0, FOED

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,556'INFO:build_dep:Returned:    LDR R7, R0, FOED

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    LSHF R6, R6, 8

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    RSHFL R7, R7, 3

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    NOP

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    RSHFA R6, R6, 6

2015-04-30 17:53:30,557'INFO:build_dep:Returned:    NOP

